date,batch,zotero_key,airtable_id,short_title,note_written,animals,feedback,flags
2026-09-12,1,9KAXASMM,recWxAmum8kwHL5uD,"Pearson 1995, Proprioceptive regulation of locomotion",yes,"Cat; Insects; Arthropods","Ib stance to swing; Ia or II stance to swing","Review Papers record created: recc5MpXPbbHBwo6w (Pearson 1995); grounded: PubMed abstract PMID 8805415"
2026-09-12,1,ZMLZC8RV,recMfFMvBOIrfAd2d,"Sherrington 1910, Flexion-reflex of the limb",yes,"Cat; Dog","Cutaneous flexor excitation","Grounded: full text OCR from archive.org J Physiol vol 40 scan; Wiley/PMC blocked or scan-only"
2026-09-12,1,H7FU2J6M,recmMgSVwdJCnZEpy,"Brown 1911, The intrinsic factors in the act of progression",yes,"Mammals; Cat",,"No feedback link per spec; grounded: full text from local Zotero PDF (storage 47QYMID7)"
2026-09-12,1,C825GTPT,recP7eT8wZvqmG1hi,"Grillner and Zangger 1975, How detailed is the central pattern generation",yes,Cat,"Fictive locomotion without sensory feedback","RESOLVED after Ben added the paper to AARL Zotero Biology (group item 69B9ZVYN, PDF child YFGAZUZV): note re-grounded from the full text (local .zotero-ft-cache) and reworded per the paper - preparation is MLR-evoked treadmill walking in mesencephalic cats (not strictly fictive locomotion) and after bilateral deafferentation the pattern persists but is more variable; Feedback link Fictive locomotion without sensory feedback kept (paper demonstrates CPG output without limb afferent feedback)"
2026-09-12,1,23ZX8RAS,rec9DlaMQnKFgSvnW,"Duysens 1977, premammillary cutaneous stimulation",yes,Cat,"Cutaneous stance modification; Cutaneous flexor excitation","Expanded beyond expected minimum: Cutaneous flexor excitation added, supported by small-fibre flexor-burst prolongation in abstract; grounded: Zotero abstract"
2026-09-12,1,RYXH6JSP,recrlZYjHX6nPIjO1,"McCrea 1980, Renshaw cells in fictive locomotion",yes,Cat,,"Grounded: APS free first-page PNG (full Summary and Conclusions read); no PubMed abstract exists; Zotero abstract field held a publisher-page wrapper, not the real abstract"
2026-09-12,1,MZQZRLAD,recnBt0xNcrHDHHir,"Jankowska 1981, common Ia/Ib interneurones",yes,Cat,"Ib disynaptic inhibition; Ib disynaptic excitation","Grounded: Zotero abstract"
2026-09-12,1,8VKY3MVB,recLletXmaXDZQutA,"Taga 1995, neuro-musculo-skeletal model",yes,Human,,"Models record created: recNDXiHGWiRS2tAL (Taga 1995); paper Models 2 auto-linked and verified; grounded: Zotero abstract"
2026-09-12,1,NUQ2JRWH,recIzLR7pGD7JCzhs,"Marder and Bucher 2001, CPGs and rhythmic movements",yes,"Vertebrates; Insects; Arthropods",,"Review Papers record created: recEUToBYWLaLlvcP (Marder and Bucher 2001); grounded: Zotero abstract"
2026-09-12,1,89WM8PFQ,recoHY3E3DH3IDrrk,"Dietz and Duysens 2000, load receptor review",yes,"Human; Cat","Ib stance to swing","Review Papers record created: rec5vMNlT9CNvVFNG (Dietz and Duysens 2000); grounded: PubMed abstract PMID 10899663"
2026-09-12,1,WORKFLOW,note,"Zotero local API q= does NOT search the DOI field; qmode=everything does",,,,,use qmode=everything in future batch grounding queries
2026-09-12,1,WORKFLOW,note,"Only Brown 1911 still had a local PDF in Zotero (Sept-11 attachment purge removed the others)",,,,,grounding route that worked: Zotero abstract -> PubMed eutils -> Europe PMC -> publisher first-page image (journals.physiology.org fp.png pattern) -> archive.org vol scan OCR (sim_ identifier + _djvu.txt)
2026-09-12,1,WORKFLOW,verify,"Re-pull of all 10 records by id after write: every Notes/Animal/Feedback echo matched; Review/Models twin links resolved (Pearson->recc5MpXPbbHBwo6w, Marder->recEUToBYWLaLlvcP, Dietz->rec5vMNlT9CNvVFNG, Taga Models 2->recNDXiHGWiRS2tAL)",,,,,PILOT BATCH COMPLETE - STOPPED FOR BEN REVIEW before batch 2
2026-09-12,2,6J8X9RQC,recjX2utz9I3wA6Q1,"Hsu 2023, Deconstructing modular organization of spinal locomotor networks",yes,Mice,,"Grounded: Zotero abstract"
2026-09-12,2,MKE6485E,recQCsnmp7no8jfwi,"Chu 2018, Stepping responses to treadmill perturbations in human SCI",yes,Human,,"Zotero abstract was truncated at 200 chars; grounded: PubMed abstract PMID 29668389"
2026-09-12,2,Q7VR4INI,recdp4jXR6rResB2w,"Zholudeva 2021, Spinal Interneurons as Gatekeepers to Neuroplasticity",yes,Mammals,,"Review confirmed from abstract; Review Papers record created: recbkUF5KT5igD7Q5 (Zholudeva 2021); Animals tagged Mammals (review spans mammalian SCI work) - Ben may prefer Mice"
2026-09-12,2,7F8N78A9,recbuZPxtSFoexUn3,"Duysens and Forner-Cordero 2019, controller perspective on gait control",yes,"Human; Cat",,"Review Papers record created: receYefj0vcqJJNkN; grounded: Zotero abstract"
2026-09-12,2,CEQX3Y93,recoIv60HYptnkyrY,"Zehr 1997, Cutaneous reflexes during human gait",yes,Human,"Cutaneous stance modification","JUDGMENT CALL: linked Cutaneous stance modification (tibial responses assist foot placement and weight acceptance at stance onset; SP responses are stumbling-correction during swing) - flag if Ben wants human cutaneous reflex papers tagged differently; grounded: Zotero abstract"
2026-09-12,2,WLGYZ4MX,recQKYXn4Tb62Xi80,"Dubuc 2008, Initiation of locomotion in lampreys",yes,Lamprey,,"Review Papers record created: recqrjdjYMrGSceUN (Dubuc 2008); Zotero had no abstract; grounded: PubMed abstract PMID 17916380"
2026-09-12,2,FXXKJEFZ,recSdhE0hA5bdq22R,"Gosgnach 2000, Depression of group Ia monosynaptic EPSPs during fictive locomotion",yes,Cat,"Ia monosynaptic excitation","JUDGMENT CALL: linked Ia monosynaptic excitation (recdWs6wNZ9DktXQg) as the pathway being presynaptically modulated - alternative record recsqGlPgBJriilg4 (Ia monosynaptic) exists; flag if Ben prefers that; grounded: Zotero abstract (J Physiol structured abstract)"
2026-09-12,2,Y3SF4GJC,recl6W47JHetZC0Px,"Li 2017, CPG neural network entrained by sensory feedback controls bipedal model",yes,,"none - robot model paper, no animal preparation","Models record created: recbMOCs7pz3fGlnn (Li 2017); paper Models 2 auto-linked and verified; grounded: Zotero abstract"
2026-09-12,2,KIG9DEKJ,receRQ4hYm1Keotr6,"Zhang 2022, V3 neurons in speed-dependent interlimb coordination in mice",yes,Mice,,"AMBIGUITY FLAG for Ben: paper extends the Danner et al. 2017 rhythm-generator model (existing Models tab has Danner 2016, a different paper) - no Models link made; options are create Zhang 2022 model record or link a Danner 2017 record if Ben adds one; grounded: Zotero abstract"
2026-09-12,2,5BM93A93,recyLcXLiTOHjMQue,"Herman 1976, Neural Control of Locomotion (edited volume)",yes,,"none - edited multi-species volume","POLICY FLAG for Ben: Animals left blank (volume spans cat/human/arthropod/fish); NO Review Papers record created (edited volume, treated like the Pierrot-Deseilligny and Burke monograph rule); note grounded from Springer landing page metadata and table of contents"
2026-09-12,2,WORKFLOW,verify,"Re-pull of all 10 by id after write: every Notes/Animal/Feedback echo matched; twin links resolved (Zholudeva->recbkUF5KT5igD7Q5, Duysens and Forner-Cordero->receYefj0vcqJJNkN, Dubuc->recqrjdjYMrGSceUN, Li Models 2->recbMOCs7pz3fGlnn)",,,,,BATCH 2 COMPLETE - queue rows 1-10 of airtable_rest_import_clean.csv; next batch starts at row 11; audit subagent due after batch 5
2026-09-12,3,WORKFLOW,status,"Batch 3 (rows 11-20) grounded (Zotero local API + PubMed PMIDs 26400815/8895997/19005003/24081162/10845109/23494365/17167915 + Zotero abstracts) and drafted; drafts in batch3_draft.md, payloads in batch3/payloads.json",,,,"NOT WRITTEN YET - session lost Airtable access: no MCP Airtable tools on laptop, no PAT, Airtable not logged in in Chrome; CUA broker died mid-session (ZCode restart needed). On next session: write batch 3 via API then verify by re-pull."
2026-09-12,RR,WORKFLOW,status,"Ben Research Rabbit tab OBSERVED (Chrome window, collection 413fb661): selected paper Shevtsova 2026 eLife 10.7554/elife.107480; recommendations incl. Mari 2023, Audet 2023, Rybak 2024, Zhang 2022 (already in SAD), Harrison 2023",,,,"Deep RR click-through not possible (broker died); replaced by OpenAlex citation-mining seeded from observed collection + lab model family: 137 candidates 2023+, 19 shortlisted (Crossref-verified), files: rr_digest_2023plus.md + batch3/rr_digest_shortlist.json + batch3/rr_digest_candidates.json"
2026-09-12,RR,WORKFLOW,plan,Private Research-Rabbit plan written: SADb_audit/corporus_discovery_plan.md (OpenAlex enrichment -> VOSviewer or pyvis map -> weekly digest + human-in-loop import),,,,
2026-09-12,RR,WORKFLOW,pending,"19 digest papers + Shevtsova 2026 ready for Airtable Papers create (bare rows, rest-import style) and Zotero SAD add: python zotero_add_digest.py --key <KEY> --post (payload batch3/zotero_digest_items.json). Shinohara bioRxiv 10.1101/2025.11.11.687930 and Shevtsova 2026 already in Ben Zotero - Airtable only",,,,Blocked on Airtable access + Zotero web key
2026-09-13,RR,WORKFLOW,zotero,"Posted 17 digest papers to personal SADb collection RBG8ZVYP via web API (Ben supplied key, cmdline only). POST 17/17 success, 0 failed; verified CGIH2HGU (Rybak eLife 98841) carries collection tag.",,,,"Pre-post dedupe: Molkov 10.1098/rsos.240207 already in collection (late addition, dropped); Shinohara 10.1101/2025.11.11.687930 already in Zotero as C5LYIBNK (dropped, Airtable-only per digest); 18-DOI per-item library sweep clean. Payloads: batch3/zotero_digest_items_{filtered,final}.json; response batch3/zotero_digest_post_result.json. Remaining for these papers: Airtable creates (20 rows incl. Molkov+Shinohara) - blocked on Airtable token."
2026-09-14,3,WORKFLOW,write,"Batch 3 WRITTEN from EB475WS4 (this machine has Airtable MCP; laptop drafts were ready): 10 papers updated (Notes/Animal/Feedback) via ONE update call using batch3/payloads.json verbatim; re-pull verified - every field echo matched; twin links resolved: Whelan 1996 = recy0UjjjU4IEqyhl, Tresch and Jarc 2009 = recpseUPKvbRuWw9F, Frigon and Rossignol 2006 = recTrOWODPlKDqBtr, Rybak 2013 (Models) = recGiJewzUZbqEVOI",,,,"Record map: Sivertsen recStTn5dbc2B80S0, Whelan recnVguZj3aWIqBez, Kaliyamoorthy reccnQpp80l2cjWuA, Tresch recFmWROYSKJ0juJB, Ross/Nichols recjOwKww2QHjHMBr, Frigon/Rossignol recxImUtZqHMAo2HI, Horchler recQwvJAHTH2EEnnZ, Rybak recaNZlCyLNJ1El0a, Pearson recG2jrJ4gY7qKHfD, Duysens recSwiN9EQNBLX0wH. Horchler resolved by title (no DOI). 30/383 curated"
2026-09-14,RR,WORKFLOW,airtable,"Created 20 bare Papers rows (rest-import style Name/Primary Author/Year/DOI) for the RR digest: 19 shortlist + Shevtsova 10.7554/elife.107480. Pre-create dedupe: all 20 DOIs absent (one OR-DOI filter call, 0 hits). Papers table = 552",,,,"Shevtsova eLife 107480 Year = 2025 per OpenAlex/Crossref (Ben's RR tab labeled 2026 - flag; fix on his word); ids: 98841 rechmhCcKA0ILQWKG, 103504 recw5L1NKiDuwcdQY, Harnie recp5dgFg2CMMDQAz, Mari-hind rec8MVmUOx1oDk02j, Mari-fore recB7n3thv2EEgswz, Zhu rec1Q4YaKntrUybgY, Molkov recCjTyA6Mz9tHw0G, Refy recZJU3Tv1NeOUDiG, Chacon recEBU9QYruCYKihU, Laflamme recIjP2Mi5teZyaov, Pazzaglia recMZoiH13ytYevS7, Severini recp7yrg2a8E7DgyR, Toscano recRmBChe7Lolwn0F, Danner recHoAYp5AUdgYEZA, Giorgi reck2RL4OlhuakV9q, Kohler recafnPacssmJFhBt, Arai recenxdRrnk3ydqyg, Yassine recoNlbHxaPTmt2Rs, Shinohara recpHeyTiV5C1veLV, Shevtsova recl7iChHRGAfNn1c. These 20 now need curation batches of their own (queued after the rest-import 383)"
